"bullet","groove_left","groove_right"
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 1-6.x3p",271.875,2248.4375
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-1.x3p",273.4375,2268.75
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-2.x3p",360.9375,2278.125
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-3.x3p",303.125,2298.4375
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-4.x3p",287.5,2290.625
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-5.x3p",287.5,2256.25
"app/images/Hamby252_3DX3P1of2//Br4 Bullet 2-6.x3p",243.75,2232.8125
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-1.x3p",276.5625,2246.875
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-2.x3p",337.5,2326.5625
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-3.x3p",292.1875,2273.4375
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-4.x3p",275,2265.625
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-5.x3p",296.875,2295.3125
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 1-6.x3p",293.75,2264.0625
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-1.x3p",251.5625,2251.5625
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-2.x3p",293.75,2290.625
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-3.x3p",323.4375,2307.8125
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-4.x3p",351.5625,2339.0625
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-5.x3p",353.125,2329.6875
"app/images/Hamby252_3DX3P1of2//Br5 Bullet 2-6.x3p",340.625,2328.125
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-1.x3p",0,2259.375
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-2.x3p",350,2432.8125
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-3.x3p",251.5625,2250
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-4.x3p",260.9375,2226.5625
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-5.x3p",270.3125,2243.75
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 1-6.x3p",278.125,2260.9375
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-1.x3p",271.875,2167.1875
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-2.x3p",262.5,2270.3125
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-3.x3p",337.5,2332.8125
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-4.x3p",304.6875,2290.625
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-5.x3p",298.4375,2279.6875
"app/images/Hamby252_3DX3P1of2//Br6 Bullet 2-6.x3p",295.3125,2278.125
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-1.x3p",321.875,2303.125
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-2.x3p",332.8125,2317.1875
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-3.x3p",300,2256.25
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-4.x3p",310.9375,2306.25
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-5.x3p",339.0625,2315.625
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 1-6.x3p",312.5,2278.125
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-1.x3p",287.5,2259.375
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-2.x3p",335.9375,2315.625
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-3.x3p",353.125,2432.8125
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-4.x3p",320.3125,2307.8125
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-5.x3p",329.6875,2434.375
"app/images/Hamby252_3DX3P1of2//Br7 Bullet 2-6.x3p",296.875,2271.875
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-1.x3p",270.3125,2235.9375
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-2.x3p",285.9375,2276.5625
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-3.x3p",306.25,2310.9375
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-4.x3p",304.6875,2307.8125
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-5.x3p",289.0625,2268.75
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 1-6.x3p",287.5,2264.0625
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-1.x3p",304.6875,2275
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-2.x3p",317.1875,2307.8125
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-3.x3p",343.75,2432.8125
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-4.x3p",325,2335.9375
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-5.x3p",331.25,2434.375
"app/images/Hamby252_3DX3P1of2//Br8 Bullet 2-6.x3p",317.1875,2300
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-1.x3p",251.5625,2240.625
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-2.x3p",278.125,2190.625
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-3.x3p",278.125,2289.0625
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-4.x3p",314.0625,2309.375
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-5.x3p",312.5,2279.6875
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 1-6.x3p",357.8125,2328.125
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-1.x3p",303.125,2273.4375
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-2.x3p",307.8125,2290.625
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-3.x3p",328.125,2318.75
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-4.x3p",239.0625,2223.4375
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-5.x3p",232.8125,2209.375
"app/images/Hamby252_3DX3P1of2//Br9 Bullet 2-6.x3p",303.125,2278.125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-1.x3p",284.375,2281.25
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-2.x3p",0,2212.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-3.x3p",242.1875,2239.0625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-4.x3p",296.875,2293.75
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-5.x3p",360.9375,2434.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet B-6.x3p",351.5625,2432.8125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-1.x3p",309.375,2293.75
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-2.x3p",323.4375,2312.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-3.x3p",279.6875,2251.5625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-4.x3p",292.1875,2296.875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-5.x3p",240.625,2240.625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet C-6.x3p",270.3125,2259.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-1.x3p",246.875,2254.6875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-2.x3p",246.875,2432.8125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-3.x3p",262.5,2434.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-4.x3p",300,2307.8125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-5.x3p",281.25,2265.625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet D-6.x3p",278.125,2278.125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet E-1.x3p",321.875,2323.4375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet E-2.x3p",262.5,2260.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet E-3.x3p",260.9375,2254.6875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet E-4.x3p",256.25,2243.75
"app/images/Hamby252_3DX3P2of2//Ukn Bullet E-5.x3p",270.3125,2250
"app/images/Hamby252_3DX3P2of2//Ukn Bullet E-6.x3p",262.5,2245.3125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet F-1.x3p",223.4375,2220.3125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet F-2.x3p",245.3125,2240.625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet F-3.x3p",298.4375,2285.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet F-4.x3p",282.8125,2251.5625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet F-5.x3p",260.9375,2256.25
"app/images/Hamby252_3DX3P2of2//Ukn Bullet F-6.x3p",270.3125,2234.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet H-1.x3p",229.6875,2204.6875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet H-2.x3p",239.0625,2237.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet H-3.x3p",245.3125,2251.5625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet H-4.x3p",296.875,2289.0625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet H-5.x3p",218.75,2168.75
"app/images/Hamby252_3DX3P2of2//Ukn Bullet H-6.x3p",248.4375,2237.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet J-1.x3p",265.625,2229.6875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet J-2.x3p",265.625,2246.875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet J-3.x3p",265.625,2260.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet J-4.x3p",267.1875,2276.5625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet J-5.x3p",264.0625,2256.25
"app/images/Hamby252_3DX3P2of2//Ukn Bullet J-6.x3p",243.75,2220.3125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet L-1.x3p",271.875,2253.125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet L-2.x3p",260.9375,2189.0625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet L-3.x3p",292.1875,2290.625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet L-4.x3p",301.5625,2300
"app/images/Hamby252_3DX3P2of2//Ukn Bullet L-5.x3p",351.5625,2432.8125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet L-6.x3p",264.0625,2246.875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet M-1.x3p",275,2432.8125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet M-2.x3p",0,2212.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet M-3.x3p",112.5,2270.3125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet M-4.x3p",221.875,2198.4375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet M-5.x3p",290.625,2275
"app/images/Hamby252_3DX3P2of2//Ukn Bullet M-6.x3p",242.1875,2240.625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-1.x3p",329.6875,2314.0625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-2.x3p",279.6875,2431.25
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-3.x3p",300,2296.875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-4.x3p",282.8125,2260.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-5.x3p",253.125,2229.6875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Q-6.x3p",293.75,2256.25
"app/images/Hamby252_3DX3P2of2//Ukn Bullet S-1.x3p",253.125,2242.1875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet S-2.x3p",306.25,2309.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet S-3.x3p",334.375,2434.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet S-4.x3p",334.375,2301.5625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet S-5.x3p",275,2245.3125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet S-6.x3p",254.6875,2225
"app/images/Hamby252_3DX3P2of2//Ukn Bullet U-1.x3p",257.8125,2248.4375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet U-2.x3p",340.625,2335.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet U-3.x3p",275,2271.875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet U-4.x3p",0,2434.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet U-5.x3p",235.9375,2212.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet U-6.x3p",253.125,2229.6875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet X-1.x3p",257.8125,2262.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet X-2.x3p",328.125,2228.125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet X-3.x3p",276.5625,2287.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet X-4.x3p",300,2273.4375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet X-5.x3p",226.5625,2198.4375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet X-6.x3p",278.125,2275
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-1.x3p",0,2246.875
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-2.x3p",243.75,2432.8125
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-3.x3p",298.4375,2285.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-4.x3p",304.6875,2284.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-5.x3p",292.1875,2268.75
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Y-6.x3p",262.5,2243.75
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Z-1.x3p",282.8125,2281.25
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Z-2.x3p",278.125,2260.9375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Z-3.x3p",309.375,2301.5625
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Z-4.x3p",228.125,2209.375
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Z-5.x3p",267.1875,2262.5
"app/images/Hamby252_3DX3P2of2//Ukn Bullet Z-6.x3p",256.25,2265.625
